Nodes,Edges,Density,Algorithm,ElapsedNS
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,37948924
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,39999425
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36365770
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,47866074
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36297195
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36298798
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36238637
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36249924
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36199669
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36327731
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,15390947
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,14795845
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,15237934
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,15081167
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,14960619
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,15066361
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,17381205
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,15167610
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,16111031
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,15623332
