Nodes,Edges,Density,Algorithm,ElapsedNS
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,54516667
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,40863283
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35328708
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36585247
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35922332
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,43516082
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,37457071
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35675219
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35933963
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,41594120
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,19423608
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,20171803
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,12840968
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,19299772
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,12380232
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,22550263
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,24131787
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,37948089
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,125435530
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,17625809
