Nodes,Edges,Density,Algorithm,ElapsedNS
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34892464
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36552637
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35059449
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34968294
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34953115
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,49070633
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34636470
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,65864766
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34566047
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34475607
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,13231919
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11881547
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11648758
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11686117
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11982136
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11866674
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,12028345
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,12061997
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,15701860
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11715369
