Nodes,Edges,Density,Algorithm,ElapsedNS
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,40651767
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36793365
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,43968854
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36248299
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36346074
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36292314
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,59671584
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,49528077
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,55162044
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36361523
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,296243769
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,20571337
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,136999128
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,17137661
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,16343928
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,18423697
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,15747712
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,23527168
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,19569565
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,16242738
