Nodes,Edges,Density,Algorithm,ElapsedNS
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35090589
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34932966
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35044548
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,70668865
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34899885
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35174341
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34951702
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34884155
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,44927708
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33520762
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33551714
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33489563
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33505671
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33506947
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33635241
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33505007
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33569702
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33637520
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33575851
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33778588
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,67073828
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34725046
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33436125
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33417521
