Nodes,Edges,Density,Algorithm,ElapsedNS
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,31491
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,65261
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56370
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57064
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,65741
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,62654
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,74529
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56980
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,61827
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57478
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56429
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,59119
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,55616
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56438
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56842
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,55590
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,69074
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57341
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57304
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57021
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,55824
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,55907
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57479
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51479
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51868
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,76447
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,93090
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56813
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56165
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56301
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,84056
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51372
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,52713
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,65086
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,53582
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56552
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56786
