Nodes,Edges,Density,Algorithm,ElapsedNS
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36015101
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36112044
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35967165
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35582459
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35468811
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35587230
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35560002
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,69686427
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35407386
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35243293
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11687431
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11411642
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11447127
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11455958
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,10866350
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11047171
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11130393
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,14558707
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,144582114
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11406474
