Nodes,Edges,Density,Algorithm,ElapsedNS
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34913120
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,57665716
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36078735
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,64995964
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,44936301
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35115226
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,53862644
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34955265
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34312817
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,33500475
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,21347889
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,13740901
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,16065785
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11587288
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,12094505
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11593304
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,123966262
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11478660
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11468758
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,12458643
