Nodes,Edges,Density,Algorithm,ElapsedNS
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,42976
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,67795
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,62423
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,62280
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,64216
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63245
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,61581
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,87389
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57358
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57127
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63578
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57040
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56819
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56125
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,55909
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56337
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56803
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,58195
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57027
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57908
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56605
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,59197
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57172
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,55914
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56657
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56906
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,90455
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56483
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,52426
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,52756
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56803
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56032
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,55788
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57396
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56435
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,101259
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,40305
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,33722
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51224
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56694
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56304
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,50970
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56473
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51677
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56595
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,83516
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56168
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,52053
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56406
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,50995
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51812
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63411
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,50797
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51264
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56705
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51741
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51207
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,58578
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56511
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,86091
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,52674
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,50771
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51548
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51094
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,52944
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56501
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56146
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63510
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,52569
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51672
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51994
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,50860
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51468
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57592
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51534
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57117
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51123
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,50834
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,85459
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,52217
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,55666
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,64736
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,50545
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,52569
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51179
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63365
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73922
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51404
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51232
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,52438
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51667
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51527
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,52464
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,79868
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,52308
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51668
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51300
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51556
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63337
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,64532
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,50839
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72635
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,57811
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63372
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,33542
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,33931
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,33795
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,27097
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,25748
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,29074
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,26968
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,29942
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,30519
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,29627
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,29954
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63471
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,62843
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,86840
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63117
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63131
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,64810
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,64683
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,62849
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63337
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63206
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,62652
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63251
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63732
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,62911
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,63868
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,62988
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,62981
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,62930
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,64168
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,71181
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72460
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,28577
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,28721
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,51843
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,70587
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,70437
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,71537
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,71609
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,70477
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,108353
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,90070
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72294
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,71745
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,69990
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72435
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72127
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,71736
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,99436
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,71137
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,37795
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,32414
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,62709
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,89193
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,70270
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73001
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,71855
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,30362
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,40659
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,56189
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,71974
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,71377
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72059
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,71144
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,71298
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,71510
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72563
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72556
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73067
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73328
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,74217
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73941
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73811
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,74387
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,109884
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72084
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73065
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73384
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72611
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73908
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72698
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73802
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72116
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72376
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73306
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73814
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72387
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73571
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73066
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73112
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73873
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72405
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72777
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73244
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,72937
16,120,0.5,SEQUENTIAL_FLOYD_WARSHALL,73842
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,103603
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,78402
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,76895
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,79073
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,78923
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,78790
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69334
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70797
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69767
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70194
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,88697
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,71950
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,91930
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70746
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70356
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69655
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70476
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69592
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,71247
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70201
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70100
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70192
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70924
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69778
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69633
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70091
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62797
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62757
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62644
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62225
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63755
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62778
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63211
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63729
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62735
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62926
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63314
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62158
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63043
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62372
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62048
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62836
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63670
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62686
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,61416
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,64330
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62467
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,64473
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63299
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62486
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,57525
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,61652
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62308
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63530
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63703
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62756
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62758
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62280
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,89825
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,57153
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62451
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63165
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,87287
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,57867
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62181
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,57039
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,57930
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63714
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62900
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,56321
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63255
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62560
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,56556
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63281
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63824
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,57638
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,61192
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,56952
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70008
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69280
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62257
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,94835
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,93738
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,37477
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,38526
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,34857
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69803
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69550
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,93029
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,68892
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69643
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69900
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,68605
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,91727
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69612
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70459
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,68465
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69265
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,62268
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69702
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70233
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70162
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70622
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69377
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,72992
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,28255
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,27667
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,28948
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,29165
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70238
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,73633
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70808
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,61765
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69275
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,63277
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,61498
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70195
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69774
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,68585
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,68618
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,67844
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,71658
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69244
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70050
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69041
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69081
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69281
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69167
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69864
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69717
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69119
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,90761
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,67781
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,122062
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,89074
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,71329
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70053
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69247
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69203
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69636
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69949
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,71369
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,78381
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,79090
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,87841
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,79045
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,92004
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,78569
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,103220
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,77953
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,77663
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,104014
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,105682
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,102548
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,77893
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,79199
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,78537
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,79073
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,79384
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,78907
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,104306
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,78651
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,80185
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,77195
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,77318
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,78823
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,81664
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,78991
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,68545
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,67249
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70196
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69727
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,98786
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69600
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,71120
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,66460
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69035
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69142
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,98304
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,71104
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,124252
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,104223
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,99131
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,68014
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,67522
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,78792
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,67929
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,71005
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,67679
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70382
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,68048
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,92153
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,68663
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69470
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70605
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69361
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,68431
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,108255
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,70564
16,144,0.6,SEQUENTIAL_FLOYD_WARSHALL,69332
16,120,0.5,PARALLEL_FLOYD_WARSHALL,734421
