Nodes,Edges,Density,Algorithm,ElapsedNS
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36114447
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,36015257
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35897341
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35938888
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35471461
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35531893
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35561105
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,34413162
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,35473636
256,32640,0.5,SEQUENTIAL_FLOYD_WARSHALL,40689948
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,12233848
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,12071670
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11389367
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11599619
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,20919124
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11355153
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,14302686
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11286455
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11010944
256,32640,0.5,PARALLEL_FLOYD_WARSHALL,11132575
